coroner_name,count
Michael Snell,1
Michael Spencer,1
Miss Caroline Margaret Jones,1
Miss Clare Doherty,1
Miss Georgina Gibbs,1
Miss Isobel Thistlethwaite,1
Miss Laura Nash,1
HHJ Loraine-Smith,1
HHJ Keith Cutler CBE,1
HH Judge Munro QC,1
Geoffrey Tomalin,1
C W Malcolm Donnelly,1
Cdr. Richard Marshall RN,1
Dame Linda Dobbs,1
David James,1
Dr Anton van Dellen,1
Dr Daniel Sharpstone,1
Dr Jeane Rosa Mellani,1
Dr M D Dominic Bell,1
Dr Marc Lindsey Leeming,1
Dr Sam Bass,1
Dr Sean Cummings,1
Edward Solomons,1
Elaine Moloney,1
Elizabeth Pygott,1
Eric Armstrong,1
"Ernest Ryder, Nominated Judge Coroner",1
Fiona Malek,1
Miss Louise E Rae,1
Miss Susan Evans,1
Mrs Charlotte Keighley,1
Mr Peter Brunton,1
Mr Matthew Kewley,1
Mr Michael Louis Sheridan Mellun,1
Mr Michael Wall,1
Mr Michael Walsh,1
Mr Nicholas Mark Flanagan,1
Mr Nick Seán Stanage,1
Mr Paul B Matthews,1
Mr Paul John Rogers,1
Mr Raja Mahmood,1
Mr Andrew M Bradley,1
Mr Richard G Taylor,1
Mr Simon Brenchley,1
Mr Simon Nicholas Burge,1
Mr Tim Deeming,1
Mr Tony Badenoch,1
Mr Xavier Mooyaart,1
Mr james puzey,1
Mrs Angela Carol Brocklehurst,1
Mr Martin Douglas Oldham,1
Mr Keith Morton QC,1
Mr Joseph Turner,1
Mr Joseph Hart,1
Mr Craig Smith,1
Mr D T Bowen,1
Mr DAVID MORRIS,1
Mr Edmund Gritt,1
Mr Edward Ramsay,1
Mr Edward Steele,1
Mr Geoffrey M. Saul,1
Mr Harry Nathaniel Lambert,1
Mr Ian Christopher James Dreelan,1
Mr Ivan Cartwright,1
Mr Jacques Howell,1
Mr Jake Taylor,1
Mr James Hargan,1
Alison Owen,1
Mr John Joseph Buckley,1
Mr John Matthews,1
Mr Jonathan Dixey,1
Mr James Jerome Dillon,1
